id,word,shift_index,subject1,subject2,subject3,subject4,subject5,subject6,subject7,subject8,subject9,subject10,subject11,subject12,subject13,subject14,subject15,subject16,subject17,subject18,subject19,subject20,subject21,subject22,subject23,subject24,subject25,subject26
1,vomit,0.0,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,no_change,no_change,no_change,no_change,no_change,NA,NA,NA,NA,NA,no_change,NA,NA,NA,no_change,NA
2,crew,0.091,NA,NA,no_change,no_change,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,no_change,NA,change,no_change,NA,no_change,NA,no_change,NA
3,erect,0.0,NA,NA,no_change,NA,NA,no_change,NA,NA,NA,no_change,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,NA,no_change,no_change,no_change
4,millionaires,0.0,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,no_change,NA,no_change,NA
5,toxic,0.857,no_change,NA,NA,NA,NA,change,NA,NA,NA,NA,change,change,change,NA,change,NA,NA,NA,NA,NA,change,NA,NA,NA,NA,NA
6,seeded,0.0,NA,NA,no_change,NA,NA,NA,NA,no_change,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,no_change,no_change,NA,no_change,NA,no_change,NA,no_change,NA
7,village,0.25,NA,NA,NA,NA,NA,NA,NA,no_change,NA,NA,change,no_change,no_change,NA,no_change,NA,NA,NA,NA,change,no_change,NA,NA,NA,no_change,NA
8,dank,0.3,no_change,NA,NA,NA,NA,no_change,NA,NA,NA,no_change,change,no_change,no_change,change,change,NA,NA,NA,NA,NA,no_change,NA,NA,NA,no_change,NA
9,accomplish,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,no_change,NA,NA,NA,NA
10,unclench,0.091,NA,NA,NA,no_change,NA,NA,NA,NA,NA,no_change,change,no_change,no_change,NA,no_change,no_change,NA,NA,NA,no_change,no_change,NA,no_change,NA,no_change,NA
11,voice,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,NA
12,stubbornness,0.0,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,no_change,NA,NA,no_change,NA,NA,NA,NA,NA
13,friendship,0.5,no_change,NA,no_change,NA,NA,NA,NA,NA,NA,NA,change,change,change,NA,no_change,no_change,NA,NA,NA,change,change,NA,NA,NA,no_change,NA
14,egyptian,0.444,NA,NA,NA,NA,change,NA,NA,NA,change,NA,change,no_change,no_change,NA,no_change,NA,change,NA,no_change,NA,no_change,NA,NA,NA,NA,NA
15,conservatives,0.0,NA,NA,NA,NA,no_change,NA,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,NA,NA,no_change,NA
16,moaned,0.0,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,no_change,no_change,no_change,no_change,no_change,NA,NA,NA,NA,NA,no_change,NA,NA,no_change,no_change,NA
17,f5,0.556,NA,NA,NA,no_change,NA,NA,NA,NA,NA,NA,change,change,change,NA,no_change,NA,NA,NA,no_change,NA,change,NA,change,NA,no_change,NA
18,labour,0.25,NA,NA,NA,no_change,NA,NA,NA,NA,NA,no_change,no_change,no_change,change,NA,change,NA,NA,NA,NA,NA,no_change,NA,NA,NA,no_change,NA
19,clench,0.375,NA,NA,NA,NA,NA,no_change,NA,NA,change,NA,change,no_change,no_change,NA,no_change,no_change,NA,NA,NA,NA,change,NA,NA,NA,NA,NA
20,highlighter,0.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,change,change,NA,change,NA,NA,NA,NA,change,change,no_change,change,NA,no_change,NA
21,pills,0.3,no_change,NA,change,NA,NA,NA,NA,NA,NA,no_change,change,no_change,no_change,NA,change,NA,NA,NA,NA,NA,no_change,NA,no_change,NA,no_change,NA
22,astonishing,0.0,no_change,NA,NA,NA,NA,no_change,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,no_change,NA,no_change,no_change,NA,no_change,NA,NA,NA
23,monitoring,0.6,no_change,NA,NA,no_change,no_change,NA,NA,NA,NA,NA,change,change,change,NA,no_change,NA,change,NA,NA,NA,change,NA,change,NA,NA,NA
24,backbone,0.1,NA,no_change,no_change,NA,NA,no_change,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,change,no_change,NA,NA,NA,no_change,NA
25,soak,0.0,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,NA
26,implied,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,no_change,no_change,NA,no_change,NA,NA,NA
27,arrangement,0.143,NA,NA,NA,no_change,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,change,no_change,NA,NA,NA,NA,NA
28,slave,0.0,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,no_change,NA,no_change,NA
29,snake,0.75,NA,NA,NA,no_change,NA,change,NA,NA,NA,NA,change,change,no_change,NA,change,NA,NA,NA,NA,NA,change,NA,NA,change,NA,NA
30,revisionist,0.0,NA,NA,no_change,NA,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,no_change,no_change,NA,NA,no_change,NA,NA,no_change,no_change,NA,NA,no_change,NA
31,shovels,0.6,no_change,no_change,no_change,NA,NA,change,NA,NA,NA,NA,change,change,change,NA,change,no_change,NA,NA,NA,NA,change,NA,NA,NA,NA,NA
32,participate,0.0,NA,NA,no_change,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,NA
33,thunder,0.875,no_change,NA,NA,change,NA,NA,NA,NA,NA,NA,change,change,change,NA,change,NA,NA,NA,NA,NA,change,NA,NA,NA,change,NA
34,mouthpiece,0.0,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,no_change,NA,NA,NA
35,bottling,0.286,NA,NA,NA,NA,NA,change,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,change,NA,NA,NA,no_change,NA,NA,NA,NA,NA
36,leans,0.9,change,NA,NA,NA,NA,NA,NA,NA,change,NA,change,change,change,no_change,change,NA,change,NA,NA,NA,change,change,NA,NA,NA,NA
37,emotion,0.0,NA,no_change,no_change,NA,NA,no_change,NA,NA,no_change,NA,no_change,no_change,no_change,NA,no_change,no_change,NA,NA,NA,NA,no_change,NA,NA,NA,no_change,NA
38,preventing,0.0,no_change,NA,no_change,NA,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,no_change,NA,NA,NA,NA,no_change,NA,NA,NA,no_change,NA
39,sentence,0.0,no_change,NA,no_change,NA,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,no_change,NA,NA,NA,no_change,no_change,NA,NA,NA,no_change,NA
40,neck,0.3,NA,NA,NA,NA,NA,no_change,NA,change,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,no_change,change,no_change,NA,NA,NA,change,NA
41,desert,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,no_change,NA,no_change,NA
42,independence,0.0,NA,NA,no_change,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,no_change,no_change,NA,NA,NA,no_change,NA
43,stubborn,0.0,NA,NA,no_change,NA,NA,no_change,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA
44,fax,0.429,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,change,change,change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,no_change,NA,NA,NA
45,parking,0.222,NA,NA,change,NA,NA,no_change,NA,NA,NA,NA,no_change,no_change,no_change,change,no_change,NA,NA,NA,NA,NA,no_change,NA,NA,NA,no_change,NA
46,relieved,0.0,NA,NA,NA,no_change,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,no_change,NA,no_change,NA,NA,NA,NA,NA
47,graduate,0.222,NA,NA,NA,NA,NA,no_change,change,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,change,no_change,NA,NA,NA,no_change,NA
48,coal,0.875,change,NA,NA,NA,no_change,NA,NA,NA,NA,NA,change,change,change,NA,change,NA,NA,NA,NA,change,change,NA,NA,NA,NA,NA
49,behaviour,0.0,no_change,NA,no_change,NA,NA,no_change,NA,NA,NA,no_change,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,no_change,no_change,NA,no_change,NA,no_change,NA
50,alternatives,0.3,NA,NA,no_change,NA,NA,no_change,NA,NA,NA,NA,change,change,no_change,NA,no_change,NA,change,NA,NA,no_change,no_change,NA,NA,NA,no_change,NA
51,parked,0.0,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,no_change,no_change,NA,no_change,NA,NA,NA
52,lottery,0.125,NA,NA,NA,no_change,NA,no_change,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,change,no_change,NA,NA,NA,NA,NA
53,hype,0.273,no_change,NA,no_change,no_change,NA,no_change,NA,NA,NA,NA,change,no_change,no_change,NA,no_change,NA,change,NA,NA,NA,change,NA,NA,NA,no_change,NA
54,hugs,0.583,NA,NA,change,NA,NA,change,NA,no_change,change,NA,change,change,no_change,NA,no_change,NA,change,no_change,NA,NA,change,NA,no_change,NA,NA,NA
55,semifinals,0.0,no_change,NA,no_change,no_change,NA,no_change,NA,NA,no_change,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,NA,NA,no_change,no_change
56,patient,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,no_change,NA,NA,NA
57,shovel,0.818,no_change,change,no_change,NA,NA,NA,NA,change,NA,NA,change,change,change,NA,change,NA,NA,NA,NA,NA,change,NA,change,NA,change,NA
58,roast,0.125,NA,NA,no_change,NA,NA,no_change,NA,NA,NA,NA,change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,NA,NA,no_change,NA
59,leaks,0.111,NA,NA,NA,NA,NA,no_change,NA,NA,change,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,no_change,NA,no_change,NA
60,croatian,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,NA,NA,no_change,NA
61,strings,0.444,NA,NA,NA,NA,NA,NA,NA,NA,no_change,NA,no_change,change,no_change,NA,no_change,NA,NA,NA,NA,change,no_change,NA,change,NA,change,NA
62,revisionism,0.0,NA,NA,no_change,NA,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,no_change,no_change,no_change,NA,NA,NA,no_change,NA
63,entourage,0.417,change,change,NA,NA,no_change,NA,NA,NA,NA,NA,change,no_change,no_change,NA,no_change,NA,change,change,NA,no_change,no_change,NA,NA,NA,no_change,NA
64,listened,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,no_change,NA,NA,NA,no_change,no_change,NA,NA,NA,NA
65,congestion,0.0,no_change,no_change,NA,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,NA
66,scorpion,0.0,no_change,NA,NA,NA,NA,no_change,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,NA,NA,no_change,NA
67,programme,0.2,NA,NA,change,NA,NA,no_change,NA,NA,NA,no_change,no_change,change,no_change,NA,no_change,NA,NA,NA,no_change,NA,no_change,NA,NA,NA,no_change,NA
68,snakes,0.8,change,NA,NA,change,NA,NA,NA,NA,NA,NA,change,change,no_change,NA,no_change,NA,change,change,NA,NA,change,NA,NA,NA,change,NA
69,wholesome,0.556,NA,NA,change,NA,NA,NA,NA,NA,NA,NA,change,change,no_change,NA,no_change,NA,NA,change,NA,NA,change,NA,no_change,NA,no_change,NA
70,clenched,0.125,NA,NA,NA,no_change,NA,no_change,NA,NA,no_change,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,change,NA,NA,NA,NA,NA
71,merchant,0.111,no_change,no_change,NA,NA,NA,no_change,NA,NA,NA,NA,change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,NA,NA,no_change,NA
72,darkness,0.7,change,NA,NA,NA,NA,no_change,NA,NA,NA,NA,change,change,no_change,NA,change,no_change,NA,NA,NA,change,change,NA,NA,NA,change,NA
73,talents,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,no_change,NA,no_change,no_change,NA,no_change,NA,NA,NA
74,doubter,0.375,NA,NA,no_change,NA,NA,NA,NA,NA,NA,NA,change,change,no_change,NA,no_change,NA,change,NA,NA,NA,no_change,NA,no_change,NA,NA,NA
75,explaining,0.0,NA,no_change,NA,NA,NA,no_change,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,NA,NA,no_change,NA
76,tapping,0.444,NA,NA,NA,NA,NA,change,NA,NA,NA,change,no_change,no_change,no_change,NA,change,NA,NA,NA,NA,NA,no_change,NA,change,NA,no_change,NA
77,advocate,0.1,NA,NA,change,NA,no_change,NA,no_change,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,no_change,NA,no_change,NA
78,tourists,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,NA,NA,no_change,NA
79,naked,0.0,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,NA,no_change,no_change,NA
80,travel,0.0,no_change,NA,no_change,NA,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,no_change,NA,no_change,NA,NA,no_change,no_change,NA
81,dilly,0.556,no_change,NA,NA,NA,NA,no_change,NA,NA,NA,NA,change,no_change,change,NA,change,NA,change,NA,NA,NA,no_change,NA,change,NA,NA,NA
82,cooking,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,no_change,change,no_change,NA,NA,NA,no_change,NA
83,lean,0.75,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,change,change,no_change,NA,change,NA,change,NA,NA,NA,change,NA,change,NA,NA,NA
84,election,0.111,NA,NA,no_change,NA,NA,NA,NA,NA,NA,no_change,no_change,change,no_change,NA,no_change,NA,NA,NA,no_change,NA,no_change,NA,NA,NA,no_change,NA
85,schedules,0.0,NA,NA,NA,NA,no_change,no_change,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,no_change,NA
86,narrative,0.0,NA,NA,NA,NA,NA,NA,NA,NA,no_change,NA,no_change,no_change,no_change,NA,no_change,NA,NA,NA,NA,NA,no_change,NA,NA,NA,no_change,NA
87,bait,0.167,no_change,NA,no_change,NA,NA,no_change,NA,NA,NA,no_change,change,no_change,no_change,NA,no_change,no_change,NA,NA,NA,NA,no_change,NA,change,no_change,NA,NA
88,africans,0.167,no_change,NA,change,NA,NA,change,NA,NA,no_change,NA,no_change,no_change,no_change,NA,no_change,no_change,NA,NA,NA,NA,no_change,NA,no_change,NA,no_change,NA
89,determine,0.0,no_change,NA,no_change,NA,NA,no_change,NA,NA,NA,NA,no_change,no_change,no_change,NA,no_change,NA,NA,no_change,no_change,NA,no_change,no_change,NA,NA,NA,NA
90,spicy,0.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,change,no_change,change,no_change,NA,change,NA,NA,NA,NA,NA,change,NA,NA,NA,change,NA
91,vans,0.909,change,NA,NA,NA,NA,change,NA,NA,change,NA,change,change,change,NA,change,NA,change,NA,NA,NA,change,NA,change,NA,no_change,NA
92,believers,0.444,no_change,NA,no_change,NA,NA,NA,NA,NA,NA,NA,change,change,no_change,NA,no_change,NA,change,NA,NA,NA,change,NA,NA,NA,no_change,NA
93,select,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,change,no_change,NA,no_change,NA,NA,change,NA,NA,no_change,change,NA,NA,NA,NA
94,pharaoh,1.0,NA,NA,NA,NA,NA,change,NA,NA,NA,NA,change,change,change,NA,change,NA,NA,NA,NA,NA,change,NA,change,NA,change,NA
95,verify,0.222,NA,NA,NA,NA,no_change,NA,NA,NA,NA,NA,no_change,change,no_change,NA,no_change,NA,NA,no_change,NA,NA,no_change,NA,change,NA,no_change,NA
96,madman,0.571,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,change,change,change,NA,no_change,NA,NA,NA,NA,NA,change,NA,NA,NA,no_change,NA
97,passengers,0.273,no_change,NA,NA,no_change,NA,no_change,NA,NA,NA,NA,change,no_change,no_change,NA,no_change,NA,no_change,NA,NA,NA,no_change,NA,change,NA,NA,change
